Team,Phase of Play,Action,Quarter,Lane,Zone,Count
home,attack,pass received,first,1,4,2
home,attack,pass received,first,2,4,1
home,attack,pass received,first,3,4,0
home,attack,pass received,first,4,4,0
home,attack,pass received,first,5,4,1
home,attack,pass received,first,1,3,1
home,attack,pass received,first,2,3,2
home,attack,pass received,first,3,3,1
home,attack,pass received,first,4,3,1
home,attack,pass received,first,5,3,3
home,attack,pass received,first,1,2,7
home,attack,pass received,first,2,2,3
home,attack,pass received,first,3,2,1
home,attack,pass received,first,4,2,2
home,attack,pass received,first,5,2,5
home,attack,pass received,first,1,1,4
home,attack,pass received,first,2,1,4
home,attack,pass received,first,3,1,3
home,attack,pass received,first,4,1,4
home,attack,pass received,first,5,1,4
home,attack,pass received,second,1,4,1
home,attack,pass received,second,2,4,0
home,attack,pass received,second,3,4,0
home,attack,pass received,second,4,4,0
home,attack,pass received,second,5,4,0
home,attack,pass received,second,1,3,5
home,attack,pass received,second,2,3,1
home,attack,pass received,second,3,3,2
home,attack,pass received,second,4,3,3
home,attack,pass received,second,5,3,2
home,attack,pass received,second,1,2,5
home,attack,pass received,second,2,2,1
home,attack,pass received,second,3,2,3
home,attack,pass received,second,4,2,2
home,attack,pass received,second,5,2,2
home,attack,pass received,second,1,1,2
home,attack,pass received,second,2,1,1
home,attack,pass received,second,3,1,0
home,attack,pass received,second,4,1,0
home,attack,pass received,second,5,1,2
home,attack,pass received,third,1,4,0
home,attack,pass received,third,2,4,0
home,attack,pass received,third,3,4,0
home,attack,pass received,third,4,4,0
home,attack,pass received,third,5,4,0
home,attack,pass received,third,1,3,4
home,attack,pass received,third,2,3,0
home,attack,pass received,third,3,3,2
home,attack,pass received,third,4,3,5
home,attack,pass received,third,5,3,3
home,attack,pass received,third,1,2,4
home,attack,pass received,third,2,2,3
home,attack,pass received,third,3,2,1
home,attack,pass received,third,4,2,1
home,attack,pass received,third,5,2,4
home,attack,pass received,third,1,1,2
home,attack,pass received,third,2,1,0
home,attack,pass received,third,3,1,1
home,attack,pass received,third,4,1,3
home,attack,pass received,third,5,1,9
home,attack,pass received,fourth,1,4,0
home,attack,pass received,fourth,2,4,0
home,attack,pass received,fourth,3,4,0
home,attack,pass received,fourth,4,4,0
home,attack,pass received,fourth,5,4,0
home,attack,pass received,fourth,1,3,1
home,attack,pass received,fourth,2,3,1
home,attack,pass received,fourth,3,3,3
home,attack,pass received,fourth,4,3,1
home,attack,pass received,fourth,5,3,2
home,attack,pass received,fourth,1,2,1
home,attack,pass received,fourth,2,2,1
home,attack,pass received,fourth,3,2,2
home,attack,pass received,fourth,4,2,1
home,attack,pass received,fourth,5,2,5
home,attack,pass received,fourth,1,1,5
home,attack,pass received,fourth,2,1,1
home,attack,pass received,fourth,3,1,1
home,attack,pass received,fourth,4,1,3
home,attack,pass received,fourth,5,1,1
home,defensive transition,pass missed,first,1,4,0
home,defensive transition,pass missed,first,2,4,2
home,defensive transition,pass missed,first,3,4,0
home,defensive transition,pass missed,first,4,4,0
home,defensive transition,pass missed,first,5,4,0
home,defensive transition,pass missed,first,1,3,3
home,defensive transition,pass missed,first,2,3,0
home,defensive transition,pass missed,first,3,3,0
home,defensive transition,pass missed,first,4,3,1
home,defensive transition,pass missed,first,5,3,0
home,defensive transition,pass missed,first,1,2,0
home,defensive transition,pass missed,first,2,2,0
home,defensive transition,pass missed,first,3,2,0
home,defensive transition,pass missed,first,4,2,0
home,defensive transition,pass missed,first,5,2,1
home,defensive transition,pass missed,first,1,1,1
home,defensive transition,pass missed,first,2,1,0
home,defensive transition,pass missed,first,3,1,0
home,defensive transition,pass missed,first,4,1,0
home,defensive transition,pass missed,first,5,1,1
home,defensive transition,pass missed,second,1,4,0
home,defensive transition,pass missed,second,2,4,0
home,defensive transition,pass missed,second,3,4,0
home,defensive transition,pass missed,second,4,4,0
home,defensive transition,pass missed,second,5,4,0
home,defensive transition,pass missed,second,1,3,0
home,defensive transition,pass missed,second,2,3,1
home,defensive transition,pass missed,second,3,3,0
home,defensive transition,pass missed,second,4,3,0
home,defensive transition,pass missed,second,5,3,0
home,defensive transition,pass missed,second,1,2,1
home,defensive transition,pass missed,second,2,2,0
home,defensive transition,pass missed,second,3,2,0
home,defensive transition,pass missed,second,4,2,0
home,defensive transition,pass missed,second,5,2,1
home,defensive transition,pass missed,second,1,1,1
home,defensive transition,pass missed,second,2,1,0
home,defensive transition,pass missed,second,3,1,0
home,defensive transition,pass missed,second,4,1,0
home,defensive transition,pass missed,second,5,1,1
home,defensive transition,pass missed,third,1,4,0
home,defensive transition,pass missed,third,2,4,0
home,defensive transition,pass missed,third,3,4,0
home,defensive transition,pass missed,third,4,4,0
home,defensive transition,pass missed,third,5,4,0
home,defensive transition,pass missed,third,1,3,0
home,defensive transition,pass missed,third,2,3,0
home,defensive transition,pass missed,third,3,3,0
home,defensive transition,pass missed,third,4,3,0
home,defensive transition,pass missed,third,5,3,0
home,defensive transition,pass missed,third,1,2,0
home,defensive transition,pass missed,third,2,2,0
home,defensive transition,pass missed,third,3,2,0
home,defensive transition,pass missed,third,4,2,1
home,defensive transition,pass missed,third,5,2,0
home,defensive transition,pass missed,third,1,1,1
home,defensive transition,pass missed,third,2,1,0
home,defensive transition,pass missed,third,3,1,0
home,defensive transition,pass missed,third,4,1,1
home,defensive transition,pass missed,third,5,1,0
home,defensive transition,pass missed,fourth,1,4,0
home,defensive transition,pass missed,fourth,2,4,0
home,defensive transition,pass missed,fourth,3,4,0
home,defensive transition,pass missed,fourth,4,4,0
home,defensive transition,pass missed,fourth,5,4,0
home,defensive transition,pass missed,fourth,1,3,0
home,defensive transition,pass missed,fourth,2,3,0
home,defensive transition,pass missed,fourth,3,3,0
home,defensive transition,pass missed,fourth,4,3,0
home,defensive transition,pass missed,fourth,5,3,0
home,defensive transition,pass missed,fourth,1,2,1
home,defensive transition,pass missed,fourth,2,2,0
home,defensive transition,pass missed,fourth,3,2,0
home,defensive transition,pass missed,fourth,4,2,0
home,defensive transition,pass missed,fourth,5,2,1
home,defensive transition,pass missed,fourth,1,1,0
home,defensive transition,pass missed,fourth,2,1,0
home,defensive transition,pass missed,fourth,3,1,0
home,defensive transition,pass missed,fourth,4,1,1
home,defensive transition,pass missed,fourth,5,1,0
home,defensive transition,pass intercepted/fouled,first,1,4,0
home,defensive transition,pass intercepted/fouled,first,2,4,0
home,defensive transition,pass intercepted/fouled,first,3,4,0
home,defensive transition,pass intercepted/fouled,first,4,4,1
home,defensive transition,pass intercepted/fouled,first,5,4,0
home,defensive transition,pass intercepted/fouled,first,1,3,1
home,defensive transition,pass intercepted/fouled,first,2,3,1
home,defensive transition,pass intercepted/fouled,first,3,3,0
home,defensive transition,pass intercepted/fouled,first,4,3,2
home,defensive transition,pass intercepted/fouled,first,5,3,1
home,defensive transition,pass intercepted/fouled,first,1,2,0
home,defensive transition,pass intercepted/fouled,first,2,2,0
home,defensive transition,pass intercepted/fouled,first,3,2,0
home,defensive transition,pass intercepted/fouled,first,4,2,0
home,defensive transition,pass intercepted/fouled,first,5,2,1
home,defensive transition,pass intercepted/fouled,first,1,1,0
home,defensive transition,pass intercepted/fouled,first,2,1,1
home,defensive transition,pass intercepted/fouled,first,3,1,0
home,defensive transition,pass intercepted/fouled,first,4,1,0
home,defensive transition,pass intercepted/fouled,first,5,1,0
home,defensive transition,pass intercepted/fouled,second,1,4,0
home,defensive transition,pass intercepted/fouled,second,2,4,0
home,defensive transition,pass intercepted/fouled,second,3,4,2
home,defensive transition,pass intercepted/fouled,second,4,4,0
home,defensive transition,pass intercepted/fouled,second,5,4,1
home,defensive transition,pass intercepted/fouled,second,1,3,1
home,defensive transition,pass intercepted/fouled,second,2,3,1
home,defensive transition,pass intercepted/fouled,second,3,3,1
home,defensive transition,pass intercepted/fouled,second,4,3,0
home,defensive transition,pass intercepted/fouled,second,5,3,1
home,defensive transition,pass intercepted/fouled,second,1,2,1
home,defensive transition,pass intercepted/fouled,second,2,2,0
home,defensive transition,pass intercepted/fouled,second,3,2,0
home,defensive transition,pass intercepted/fouled,second,4,2,0
home,defensive transition,pass intercepted/fouled,second,5,2,1
home,defensive transition,pass intercepted/fouled,second,1,1,0
home,defensive transition,pass intercepted/fouled,second,2,1,0
home,defensive transition,pass intercepted/fouled,second,3,1,0
home,defensive transition,pass intercepted/fouled,second,4,1,1
home,defensive transition,pass intercepted/fouled,second,5,1,0
home,defensive transition,pass intercepted/fouled,third,1,4,0
home,defensive transition,pass intercepted/fouled,third,2,4,0
home,defensive transition,pass intercepted/fouled,third,3,4,0
home,defensive transition,pass intercepted/fouled,third,4,4,0
home,defensive transition,pass intercepted/fouled,third,5,4,0
home,defensive transition,pass intercepted/fouled,third,1,3,0
home,defensive transition,pass intercepted/fouled,third,2,3,1
home,defensive transition,pass intercepted/fouled,third,3,3,0
home,defensive transition,pass intercepted/fouled,third,4,3,0
home,defensive transition,pass intercepted/fouled,third,5,3,0
home,defensive transition,pass intercepted/fouled,third,1,2,0
home,defensive transition,pass intercepted/fouled,third,2,2,1
home,defensive transition,pass intercepted/fouled,third,3,2,2
home,defensive transition,pass intercepted/fouled,third,4,2,0
home,defensive transition,pass intercepted/fouled,third,5,2,0
home,defensive transition,pass intercepted/fouled,third,1,1,1
home,defensive transition,pass intercepted/fouled,third,2,1,1
home,defensive transition,pass intercepted/fouled,third,3,1,1
home,defensive transition,pass intercepted/fouled,third,4,1,1
home,defensive transition,pass intercepted/fouled,third,5,1,1
home,defensive transition,pass intercepted/fouled,fourth,1,4,0
home,defensive transition,pass intercepted/fouled,fourth,2,4,0
home,defensive transition,pass intercepted/fouled,fourth,3,4,0
home,defensive transition,pass intercepted/fouled,fourth,4,4,0
home,defensive transition,pass intercepted/fouled,fourth,5,4,0
home,defensive transition,pass intercepted/fouled,fourth,1,3,0
home,defensive transition,pass intercepted/fouled,fourth,2,3,0
home,defensive transition,pass intercepted/fouled,fourth,3,3,0
home,defensive transition,pass intercepted/fouled,fourth,4,3,0
home,defensive transition,pass intercepted/fouled,fourth,5,3,0
home,defensive transition,pass intercepted/fouled,fourth,1,2,0
home,defensive transition,pass intercepted/fouled,fourth,2,2,0
home,defensive transition,pass intercepted/fouled,fourth,3,2,0
home,defensive transition,pass intercepted/fouled,fourth,4,2,0
home,defensive transition,pass intercepted/fouled,fourth,5,2,0
home,defensive transition,pass intercepted/fouled,fourth,1,1,0
home,defensive transition,pass intercepted/fouled,fourth,2,1,0
home,defensive transition,pass intercepted/fouled,fourth,3,1,2
home,defensive transition,pass intercepted/fouled,fourth,4,1,0
home,defensive transition,pass intercepted/fouled,fourth,5,1,0