"Timestamp","What is the average number of minutes you spend on leisure activities per day?","What is the average number of minutes you spend on playing video games per day?"
"2022/05/25 9:51:59 AM CDT","240","30"
"2022/05/26 2:09:53 PM CDT","100","10"
"2022/05/26 2:10:18 PM CDT","600","700"
"2022/05/26 2:10:19 PM CDT","600","380"
"2022/05/26 2:10:25 PM CDT","300","180"
"2022/05/26 2:10:36 PM CDT","420","300"
"2022/05/26 2:10:37 PM CDT","420","360"
"2022/05/26 2:10:37 PM CDT","50","0"
"2022/05/26 2:10:38 PM CDT","5","4"
"2022/05/26 2:10:43 PM CDT","240","120"
"2022/05/26 2:11:05 PM CDT","60","300"
"2022/05/26 2:11:08 PM CDT","720","300"
"2022/05/26 2:11:41 PM CDT","240","120"
"2022/05/26 2:11:45 PM CDT","955","853"
"2022/05/26 2:11:55 PM CDT","240","60"
"2022/05/26 2:12:08 PM CDT","120","0"
"2022/05/26 2:12:10 PM CDT","180","240"
"2022/05/26 2:12:11 PM CDT","3","4"
"2022/05/26 2:13:56 PM CDT","720","4"